"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
1,1,3,0,17,12,6
1,1,3,0,21,7,3
0,4,7,0,16,9,0
0,2,5,0,23,7,6
0,1,2,2,16,9,10
2,1,6,2,26,7,8
2,3,4,0,20,8,3
2,3,4,2,10,3,10
1,4,5,0,16,9,0
1,4,8,0,20,8,0
6,0,0,0,10,6,0
1,1,3,2,22,8,12
0,3,5,1,20,9,8
0,3,4,0,24,10,3
0,3,4,0,16,8,0
0,4,7,0,25,11,0
0,3,13,0,28,6,12
0,3,4,0,17,7,6
2,3,10,0,21,7,0
4,3,7,0,25,13,6
1,1,3,2,15,4,4
0,1,6,0,32,16,6
1,2,2,2,22,11,1
0,1,9,0,14,4,12
0,0,6,0,22,6,3
2,3,6,0,26,10,6
2,2,5,2,21,9,4
0,3,1,0,12,5,3
2,1,3,2,22,7,9
0,2,9,0,21,8,6
1,0,0,0,26,17,0
0,2,5,2,24,9,4
0,2,2,4,20,10,0
3,1,3,0,25,9,6
0,4,8,0,19,9,0
0,3,3,0,26,12,6
2,3,5,0,23,12,0
0,1,3,0,23,11,0
3,1,3,0,23,10,0
3,0,3,0,22,10,0
1,0,0,0,15,6,0
0,3,5,3,20,8,6
4,1,6,1,21,5,8
2,3,4,0,14,6,0
2,2,4,0,18,9,6
0,4,5,4,19,6,7
0,1,6,5,25,11,4
4,1,5,0,31,13,6
0,3,1,0,15,7,6
2,2,5,0,19,6,6
1,0,4,2,9,3,4
2,2,6,0,28,12,3
0,0,0,2,0,2,1
0,1,9,0,32,18,3
4,1,3,0,20,6,6
0,2,14,0,29,10,0
2,1,6,0,24,8,6
2,2,6,0,22,4,18
0,2,7,0,12,4,12
0,1,12,3,32,12,6
2,3,1,0,13,5,12
1,2,9,0,31,11,6
0,2,5,0,26,8,6
0,2,5,3,21,8,0
0,1,3,4,23,9,8
0,1,2,0,28,22,0
1,0,0,0,31,19,0
0,2,5,2,26,10,7
2,1,9,0,29,9,0
0,2,6,2,18,7,10
4,2,5,0,24,10,6
0,3,10,0,28,8,6
4,3,7,2,22,5,10
0,1,3,3,27,11,0
6,0,2,2,13,2,13
0,1,6,1,27,11,8
0,2,4,0,29,15,0
2,1,2,4,20,10,2
1,2,5,2,23,9,9
0,3,5,3,21,7,6
5,1,6,0,29,8,6
1,2,2,0,21,9,6
2,1,5,0,36,16,0
0,0,6,0,14,11,6
2,3,2,2,21,8,8
0,1,8,0,22,5,12
2,3,7,0,26,8,6
0,4,7,0,20,9,0
0,1,7,0,24,14,0
2,3,9,0,24,6,6
3,2,2,0,25,14,0
3,1,5,0,21,10,0
0,2,5,5,21,5,6
1,3,4,0,17,7,0
2,2,2,0,16,4,12
2,1,3,1,28,11,2
1,3,5,0,20,9,0
2,0,3,0,19,8,0
6,1,3,0,29,10,9
0,3,4,0,26,11,6
0,2,5,2,28,12,4
0,3,8,2,23,9,7
1,1,3,4,18,7,2
0,2,6,2,34,15,0
3,0,4,0,18,7,6
1,1,4,0,20,9,12
0,2,7,0,17,9,6
0,2,2,0,26,8,6
2,4,1,2,7,1,9
3,1,2,0,31,23,0
2,3,7,0,23,7,6
0,2,4,0,20,8,6
1,2,4,0,21,9,3
6,1,9,0,27,7,6
0,3,4,0,22,10,6
0,2,5,0,18,4,9
2,1,7,0,23,6,6
2,1,2,0,22,11,0
2,2,5,0,27,8,6
0,3,5,2,22,11,2
2,4,3,2,12,5,4
6,1,3,0,29,11,0
1,2,2,0,8,6,0
0,3,4,2,25,11,1
3,1,6,0,25,5,14
0,3,7,0,26,9,6
4,2,6,0,21,10,6
0,4,8,0,24,8,6
1,3,7,0,26,10,6
2,3,1,3,21,11,0
0,4,8,0,21,7,6
1,1,8,0,22,9,6
3,1,7,0,20,8,9
1,1,2,0,8,6,6
1,0,3,0,20,12,6
4,1,9,0,29,10,12
0,1,6,0,32,17,0
0,4,6,4,20,5,2
0,1,6,0,12,7,6
0,4,7,0,25,9,3
0,3,7,0,29,15,0
0,2,2,2,21,11,4
5,2,8,0,28,9,6
0,3,9,0,12,1,0
2,4,3,2,15,7,3
3,2,5,0,20,6,6
0,4,9,0,27,10,6
0,2,6,6,17,13,3
1,0,2,0,13,7,0
6,4,3,0,21,9,6
0,2,2,0,18,8,3
0,3,10,0,26,9,6
3,2,8,0,31,12,0
1,2,2,0,21,10,3
0,4,4,0,26,13,0
0,4,8,0,25,10,12
